2025-02-24 00:03:57 status installed gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:57 remove gnupg1:amd64 1.4.23-1.1+b1 <none>
2025-02-24 00:03:57 status half-configured gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:57 status half-installed gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:57 status config-files gnupg1:amd64 1.4.23-1.1+b1
2025-02-24 00:03:57 status not-installed gnupg1:amd64 <none>
2025-02-24 00:03:57 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:57 remove libcurl3-gnutls:amd64 7.88.1-10+deb12u8 <none>
2025-02-24 00:03:57 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:03:57 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:57 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:57 status config-files libcurl3-gnutls:amd64 7.88.1-10+deb12u8
2025-02-24 00:03:57 status not-installed libcurl3-gnutls:amd64 <none>
2025-02-24 00:03:57 status installed libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:57 remove libbrotli1:amd64 1.0.9-2+b6 <none>
2025-02-24 00:03:57 status half-configured libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:57 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:58 status config-files libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:03:58 status not-installed libbrotli1:amd64 <none>
2025-02-24 00:03:58 status installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 remove libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:58 status half-configured libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 remove libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:58 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status config-files libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status not-installed libkrb5-3:amd64 <none>
2025-02-24 00:03:58 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 remove libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:58 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status config-files libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status not-installed libk5crypto3:amd64 <none>
2025-02-24 00:03:58 status installed libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:58 remove libkeyutils1:amd64 1.6.3-2 <none>
2025-02-24 00:03:58 status half-configured libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:58 status half-installed libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:58 status config-files libkeyutils1:amd64 1.6.3-2
2025-02-24 00:03:58 status not-installed libkeyutils1:amd64 <none>
2025-02-24 00:03:58 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 remove libkrb5support0:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:58 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status config-files libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status not-installed libkrb5support0:amd64 <none>
2025-02-24 00:03:58 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:58 remove libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2025-02-24 00:03:58 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:58 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:58 status config-files libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:03:58 status not-installed libldap-2.5-0:amd64 <none>
2025-02-24 00:03:58 status installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:58 remove libnghttp2-14:amd64 1.52.0-1+deb12u2 <none>
2025-02-24 00:03:58 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:58 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:58 status config-files libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:03:58 status not-installed libnghttp2-14:amd64 <none>
2025-02-24 00:03:58 status installed libpsl5:amd64 0.21.2-1
2025-02-24 00:03:58 remove libpsl5:amd64 0.21.2-1 <none>
2025-02-24 00:03:58 status half-configured libpsl5:amd64 0.21.2-1
2025-02-24 00:03:58 status half-installed libpsl5:amd64 0.21.2-1
2025-02-24 00:03:58 status config-files libpsl5:amd64 0.21.2-1
2025-02-24 00:03:58 status not-installed libpsl5:amd64 <none>
2025-02-24 00:03:58 status installed libreadline8:amd64 8.2-1.3
2025-02-24 00:03:58 remove libreadline8:amd64 8.2-1.3 <none>
2025-02-24 00:03:58 status half-configured libreadline8:amd64 8.2-1.3
2025-02-24 00:03:58 status half-installed libreadline8:amd64 8.2-1.3
2025-02-24 00:03:58 status config-files libreadline8:amd64 8.2-1.3
2025-02-24 00:03:58 status not-installed libreadline8:amd64 <none>
2025-02-24 00:03:58 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:58 remove librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2025-02-24 00:03:58 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:58 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:58 status config-files librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:58 status not-installed librtmp1:amd64 <none>
2025-02-24 00:03:58 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 remove libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2025-02-24 00:03:58 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status config-files libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status not-installed libsasl2-2:amd64 <none>
2025-02-24 00:03:58 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 remove libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2025-02-24 00:03:58 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status config-files libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:58 status not-installed libsasl2-modules-db:amd64 <none>
2025-02-24 00:03:58 status installed libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:58 remove libssh2-1:amd64 1.10.0-3+b1 <none>
2025-02-24 00:03:58 status half-configured libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:58 status half-installed libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:58 status config-files libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:58 status not-installed libssh2-1:amd64 <none>
2025-02-24 00:03:58 status installed readline-common:all 8.2-1.3
2025-02-24 00:03:58 remove readline-common:all 8.2-1.3 <none>
2025-02-24 00:03:58 status half-configured readline-common:all 8.2-1.3
2025-02-24 00:03:58 status half-installed readline-common:all 8.2-1.3
2025-02-24 00:03:58 status config-files readline-common:all 8.2-1.3
2025-02-24 00:03:58 startup packages configure
2025-02-24 00:03:58 trigproc libc-bin:amd64 2.36-9+deb12u9 <none>
2025-02-24 00:03:58 status half-configured libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:03:58 status installed libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:03:58 startup packages purge
2025-02-24 00:03:58 purge libgssapi-krb5-2:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:58 status config-files libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:58 status not-installed libgssapi-krb5-2:amd64 <none>
2025-02-24 00:03:58 purge readline-common:all 8.2-1.3 <none>
2025-02-24 00:03:58 status config-files readline-common:all 8.2-1.3
2025-02-24 00:03:58 status not-installed readline-common:all <none>
2025-02-24 00:03:58 startup packages configure
2025-02-24 00:04:08 startup archives unpack
2025-02-24 00:04:08 install gettext-base:amd64 <none> 0.21-12
2025-02-24 00:04:08 status half-installed gettext-base:amd64 0.21-12
2025-02-24 00:04:08 status unpacked gettext-base:amd64 0.21-12
2025-02-24 00:04:08 install libbrotli1:amd64 <none> 1.0.9-2+b6
2025-02-24 00:04:08 status triggers-pending libc-bin:amd64 2.36-9+deb12u9
2025-02-24 00:04:08 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:04:08 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-02-24 00:04:08 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2025-02-24 00:04:08 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:08 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:08 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2025-02-24 00:04:08 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:08 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:09 install libkeyutils1:amd64 <none> 1.6.3-2
2025-02-24 00:04:09 status half-installed libkeyutils1:amd64 1.6.3-2
2025-02-24 00:04:09 status unpacked libkeyutils1:amd64 1.6.3-2
2025-02-24 00:04:09 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2025-02-24 00:04:09 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:09 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:09 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2025-02-24 00:04:09 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:09 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2025-02-24 00:04:09 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2025-02-24 00:04:09 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:04:09 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:04:09 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2025-02-24 00:04:09 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:04:09 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:04:09 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2025-02-24 00:04:09 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:04:09 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2025-02-24 00:04:09 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u2
2025-02-24 00:04:09 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:04:09 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2025-02-24 00:04:09 install libpsl5:amd64 <none> 0.21.2-1
2025-02-24 00:04:09 status half-installed libpsl5:amd64 0.21.2-1
2025-02-24 00:04:09 status unpacked libpsl5:amd64 0.21.2-1
